,Theme,FeatureVector,WordVector
0,Mathematics,[0.0483871  0.03225806 0.01612903 ... 0.         0.         0.        ],"['0', 'zero', 'number', 'numerical', 'digit', 'use', 'represent', 'number', 'numeral', 'fulfill', 'central', 'role', 'mathematics', 'additive', 'identity', 'integer', 'real', 'number', 'many', 'algebraic', 'structure', 'digit', '0', 'use', 'placeholder', 'place', 'value', 'system', 'name', 'number', '0', 'english', 'include', 'zero', 'nought', 'uk', 'naught', 'u', 'nil', 'or—in', 'context', 'least', 'one', 'adjacent', 'digit', 'distinguishes', 'letter', '—oh', 'informal', 'slang', 'term', 'zero', 'include', 'zilch', 'zip', 'ought', 'aught', 'well', 'cipher', 'also', 'use', 'historically']"
Abiogenesis,Science,[0.003003 0.003003 0.       ... 0.       0.       0.      ],"['biology', 'abiogenesis', '‘', '’', 'greek', 'bios', '‘', 'life', '’', 'genesis', 'origin', 'origin', 'life', 'natural', 'process', 'life', 'arisen', 'non', 'live', 'matter', 'simple', 'organic', 'compound', 'prevail', 'scientific', 'hypothesis', 'transition', 'non', 'live', 'live', 'entity', 'single', 'event', 'evolutionary', 'process', 'increase', 'complexity', 'involve', 'formation', 'habitable', 'planet', 'prebiotic', 'synthesis', 'organic', 'molecule', 'molecular', 'self', 'replication', 'self', 'assembly', 'autocatalysis', 'emergence', 'cell', 'membrane', 'many', 'proposal', 'make', 'different', 'stage', 'process', 'study', 'abiogenesis', 'aim', 'determine', 'pre', 'life', 'chemical', 'reaction', 'give', 'rise', 'life', 'condition', 'strikingly', 'different', 'earth', 'today', 'primarily', 'use', 'tool', 'biology', 'chemistry', 'recent', 'approach', 'attempt', 'synthesis', 'many', 'science', 'life', 'function', 'specialize', 'chemistry', 'carbon', 'water', 'build', 'largely', 'upon', 'four', 'key', 'family', 'chemical', 'lipid', 'cell', 'membrane', 'carbohydrate', 'sugar', 'amino', 'acid', 'protein', 'metabolism', 'nucleic', 'acid', 'dna', 'rna', 'mechanism', 'heredity', 'successful', 'theory', 'abiogenesis', 'must', 'explain', 'origin', 'interaction', 'class', 'molecule', 'many', 'approach', 'abiogenesis', 'investigate', 'self', 'replicate', 'molecule', 'component', 'come', 'existence', 'researcher', 'generally', 'think', 'current', 'life', 'descends', 'rna', 'world', 'although', 'self', 'replicate', 'molecule', 'may', 'precede', 'rna', 'classic', '1952', 'miller–urey', 'experiment', 'demonstrate', 'amino', 'acid', 'chemical', 'constituent', 'proteins', 'synthesized', 'inorganic', 'compound', 'condition', 'intend', 'replicate', 'early', 'earth', 'external', 'source', 'energy', 'may', 'trigger', 'reaction', 'include', 'lightning', 'radiation', 'atmospheric', 'entry', 'micro', 'meteorite', 'implosion', 'bubble', 'sea', 'ocean', 'wave', 'approach', 'metabolism', 'first', 'hypotheses', 'focus', 'understand', 'catalysis', 'chemical', 'system', 'early', 'earth', 'might', 'provide', 'precursor', 'molecule', 'necessary', 'self', 'replication', 'genomics', 'approach', 'seek', 'characterise', 'last', 'universal', 'common', 'ancestor', 'luca', 'modern', 'organism', 'identify', 'gene', 'share', 'archaea', 'bacteria', 'member', 'two', 'major', 'branch', 'life', 'eukaryotes', 'belong', 'archaean', 'branch', 'two', 'domain', 'system', '355', 'gene', 'appear', 'common', 'life', 'nature', 'imply', 'luca', 'anaerobic', 'wood–ljungdahl', 'pathway', 'derive', 'energy', 'chemiosmosis', 'maintain', 'hereditary', 'material', 'dna', 'genetic', 'code', 'ribosome', 'although', 'luca', 'live', '4', 'billion', 'year', 'ago', 'gya', 'researcher', 'believe', 'first', 'form', 'life', 'earlier', 'cell', 'might', 'leaky', 'membrane', 'power', 'naturally', 'occur', 'proton', 'gradient', 'near', 'deep', 'sea', 'white', 'smoker', 'hydrothermal', 'vent', 'earth', 'remain', 'place', 'universe', 'know', 'harbor', 'life', 'fossil', 'evidence', 'earth', 'informs', 'study', 'abiogenesis', 'earth', 'form', '4', '54', 'gya', 'earliest', 'undisputed', 'evidence', 'life', 'earth', 'date', 'least', '3', '5', 'gya', 'fossil', 'micro', 'organism', 'appear', 'live', 'within', 'hydrothermal', 'vent', 'precipitate', 'date', '3', '77', '4', '28', 'gya', 'quebec', 'soon', 'ocean', 'formation', '4', '4', 'gya', 'hadean']"
Abortion,Society and social sciences,[0.01282051 0.00320513 0.         ... 0.         0.         0.        ],"['abortion', 'termination', 'pregnancy', 'removal', 'expulsion', 'embryo', 'fetus', 'abortion', 'occur', 'without', 'intervention', 'know', 'miscarriage', 'spontaneous', 'abortion', 'occur', 'approximately', '30', '40', 'pregnancy', 'deliberate', 'step', 'take', 'end', 'pregnancy', 'call', 'induced', 'abortion', 'less', 'frequently', 'induce', 'miscarriage', 'unmodified', 'word', 'abortion', 'generally', 'refers', 'induce', 'abortion', 'properly', 'do', 'induced', 'abortion', 'one', 'safest', 'procedures', 'medicine', '1', 'united', 'state', 'risk', 'maternal', 'mortality', '14', 'time', 'low', 'induced', 'abortion', 'childbirth', 'unsafe', 'abortions—those', 'perform', 'people', 'lack', 'necessary', 'skill', 'inadequately', 'resourced', 'settings—are', 'major', 'cause', 'maternal', 'death', 'especially', 'developing', 'world', 'though', 'self', 'manage', 'medication', 'abortion', 'highly', 'effective', 'safe', 'public', 'health', 'data', 'show', 'make', 'safe', 'abortion', 'legal', 'accessible', 'reduces', 'maternal', 'death', 'modern', 'method', 'use', 'medication', 'surgery', 'abortion', 'drug', 'mifepristone', 'combination', 'prostaglandin', 'appear', 'safe', 'effective', 'surgery', 'first', 'second', 'trimester', 'pregnancy', 'common', 'surgical', 'technique', 'involve', 'dilate', 'cervix', 'use', 'suction', 'device', 'birth', 'control', 'pill', 'intrauterine', 'device', 'use', 'immediately', 'follow', 'abortion', 'perform', 'legally', 'safely', 'woman', 'desire', 'induce', 'abortion', 'increase', 'risk', 'long', 'term', 'mental', 'physical', 'problem', 'contrast', 'unsafe', 'abortion', 'perform', 'unskilled', 'individual', 'hazardous', 'equipment', 'unsanitary', 'facility', 'cause', '47', '000', 'death', '5', 'million', 'hospital', 'admission', 'year', 'world', 'health', 'organization', 'state', 'access', 'legal', 'safe', 'comprehensive', 'abortion', 'care', 'include', 'post', 'abortion', 'care', 'essential', 'attainment', 'high', 'possible', 'level', 'sexual', 'reproductive', 'health', 'around', '56', 'million', 'abortion', 'perform', 'year', 'world', '45', 'do', 'unsafely', 'abortion', 'rate', 'change', 'little', '2003', '2008', 'decrease', 'least', 'two', 'decade', 'access', 'family', 'plan', 'birth', 'control', 'increase', '2018', '37', 'world', 'woman', 'access', 'legal', 'abortion', 'without', 'limit', 'reason', 'country', 'permit', 'abortion', 'different', 'limit', 'late', 'pregnancy', 'abortion', 'allow', 'abortion', 'rate', 'similar', 'country', 'ban', 'abortion', 'country', 'allow', 'historically', 'abortion', 'attempt', 'use', 'herbal', 'medicine', 'sharp', 'tool', 'forceful', 'massage', 'traditional', 'method', 'abortion', 'law', 'cultural', 'religious', 'view', 'abortion', 'different', 'around', 'world', 'area', 'abortion', 'legal', 'specific', 'case', 'rape', 'fetal', 'defect', 'poverty', 'risk', 'woman', 'health', 'incest', 'debate', 'moral', 'ethical', 'legal', 'issue', 'abortion', 'oppose', 'abortion', 'often', 'argue', 'embryo', 'fetus', 'person', 'right', 'life', 'thus', 'equate', 'abortion', 'murder', 'support', 'legality', 'abortion', 'often', 'argue', 'part', 'woman', 'right', 'make', 'decision', 'body', 'others', 'favor', 'legal', 'accessible', 'abortion', 'public', 'health', 'measure']"
Abraham Lincoln,People,[0.         0.0030581  0.00611621 ... 0.         0.         0.        ],"['abraham', 'lincoln', 'link', 'ən', 'february', '12', '1809', '–', 'april', '15', '1865', 'american', 'lawyer', 'statesman', 'serve', '16th', 'president', 'unite', 'state', '1861', 'assassination', '1865', 'lincoln', 'lead', 'nation', 'american', 'civil', 'war', 'succeed', 'preserve', 'union', 'abolish', 'slavery', 'bolster', 'federal', 'government', 'modernize', 'u', 'economy', 'lincoln', 'bear', 'poverty', 'log', 'cabin', 'kentucky', 'raise', 'frontier', 'primarily', 'indiana', 'self', 'educate', 'become', 'lawyer', 'whig', 'party', 'leader', 'illinois', 'state', 'legislator', 'u', 'congressman', 'illinois', '1849', 'return', 'law', 'practice', 'become', 'vexed', 'open', 'additional', 'land', 'slavery', 'result', 'kansas–nebraska', 'act', '1854', 'reentered', 'politics', '1854', 'become', 'leader', 'new', 'republican', 'party', 'reach', 'national', 'audience', '1858', 'senate', 'campaign', 'debate', 'stephen', 'douglas', 'lincoln', 'ran', 'president', '1860', 'sweeping', 'north', 'gain', 'victory', 'pro', 'slavery', 'element', 'south', 'view', 'election', 'threat', 'slavery', 'southern', 'state', 'begin', 'secede', 'union', 'time', 'newly', 'form', 'confederate', 'state', 'america', 'begin', 'seize', 'federal', 'military', 'base', 'south', 'one', 'month', 'lincoln', 'assume', 'presidency', 'confederate', 'state', 'attack', 'fort', 'sumter', 'u', 'fort', 'south', 'carolina', 'follow', 'bombardment', 'lincoln', 'mobilize', 'force', 'suppress', 'rebellion', 'restore', 'union', 'lincoln', 'moderate', 'republican', 'navigate', 'contentious', 'array', 'faction', 'friends', 'opponent', 'democratic', 'republican', 'party', 'ally', 'war', 'democrats', 'radical', 'republican', 'demand', 'harsh', 'treatment', 'southern', 'confederate', 'anti', 'war', 'democrat', 'call', 'copperhead', 'despise', 'lincoln', 'irreconcilable', 'pro', 'confederate', 'element', 'plot', 'assassination', 'manage', 'faction', 'exploit', 'mutual', 'enmity', 'carefully', 'distribute', 'political', 'patronage', 'appeal', 'american', 'people', 'gettysburg', 'address', 'come', 'see', 'one', 'great', 'influential', 'statement', 'american', 'national', 'purpose', 'lincoln', 'closely', 'supervised', 'strategy', 'tactic', 'war', 'effort', 'include', 'selection', 'general', 'implement', 'naval', 'blockade', 'south', 'trade', 'suspend', 'habeas', 'corpus', 'maryland', 'avert', 'british', 'intervention', 'defuse', 'trent', 'affair', '1863', 'issued', 'emancipation', 'proclamation', 'declare', 'slave', 'state', 'rebellion', 'free', 'also', 'direct', 'army', 'navy', 'recognize', 'maintain', 'freedom', 'person', 'receive', 'armed', 'service', 'united', 'state', 'lincoln', 'also', 'pressure', 'border', 'state', 'outlaw', 'slavery', 'promote', 'thirteenth', 'amendment', 'united', 'state', 'constitution', 'upon', 'ratification', 'abolish', 'slavery', 'lincoln', 'manage', 'successful', 'election', 'campaign', 'seek', 'heal', 'war', 'torn', 'nation', 'reconciliation', 'april', '14', '1865', 'day', 'war', 'end', 'appomattox', 'attend', 'play', 'ford', 'theatre', 'washington', 'c', 'wife', 'mary', 'fatally', 'shot', 'confederate', 'sympathizer', 'john', 'wilkes', 'booth', 'abraham', 'lincoln', 'remember', 'martyr', 'national', 'hero', 'wartime', 'leadership', 'effort', 'preserve', 'union', 'abolish', 'slavery', 'lincoln', 'often', 'rank', 'popular', 'scholarly', 'poll', 'great', 'president', 'american', 'history']"
Abraham,People,[0.         0.00568182 0.00568182 ... 0.         0.         0.        ],"['abraham', 'originally', 'abram', 'common', 'hebrew', 'patriarch', 'abrahamic', 'religion', 'include', 'judaism', 'christianity', 'islam', 'judaism', 'found', 'father', 'special', 'relationship', 'jew', 'god', 'christianity', 'spiritual', 'progenitor', 'believer', 'whether', 'jewish', 'non', 'jewish', 'islam', 'link', 'chain', 'islamic', 'prophet', 'begin', 'adam', 'see', 'adam', 'islam', 'culminates', 'muhammad', 'life', 'tell', 'narrative', 'book', 'genesis', 'revolve', 'around', 'theme', 'posterity', 'land', 'abraham', 'call', 'god', 'leave', 'house', 'father', 'terah', 'settle', 'land', 'canaan', 'god', 'promise', 'abraham', 'progeny', 'promise', 'subsequently', 'inherit', 'isaac', 'abraham', 'son', 'wife', 'sarah', 'isaac', 'half', 'brother', 'ishmael', 'also', 'promise', 'founder', 'great', 'nation', 'abraham', 'purchase', 'tomb', 'cave', 'patriarchs', 'hebron', 'sarah', 'grave', 'thus', 'establish', 'right', 'land', 'second', 'generation', 'heir', 'isaac', 'marry', 'woman', 'kin', 'thus', 'rule', 'canaanite', 'inheritance', 'abraham', 'late', 'marries', 'keturah', 'six', 'son', 'death', 'bury', 'beside', 'sarah', 'isaac', 'receives', 'abraham', 'good', 'son', 'receive', 'gift', 'historian', 'view', 'patriarchal', 'age', 'along', 'exodus', 'period', 'biblical', 'judge', 'late', 'literary', 'construct', 'relate', 'particular', 'historical', 'era', 'century', 'exhaustive', 'archaeological', 'investigation', 'evidence', 'find', 'historical', 'abraham', 'largely', 'conclude', 'torah', 'compose', 'early', 'persian', 'period', 'late', '6th', 'century', 'bce', 'result', 'tension', 'jewish', 'landowner', 'stay', 'judah', 'babylonian', 'captivity', 'trace', 'right', 'land', 'father', 'abraham', 'return', 'exile', 'base', 'counterclaim', 'moses', 'exodus', 'tradition', 'israelite']"
Abstract algebra,Mathematics,[0.01204819 0.01204819 0.         ... 0.         0.         0.        ],"['mathematics', 'specifically', 'algebra', 'abstract', 'algebra', 'modern', 'algebra', 'study', 'algebraic', 'structure', 'algebraic', 'structure', 'include', 'group', 'ring', 'field', 'module', 'vector', 'space', 'lattices', 'algebras', 'field', 'term', 'abstract', 'algebra', 'coin', 'early', '20th', 'century', 'distinguish', 'area', 'study', 'old', 'part', 'algebra', 'specifically', 'elementary', 'algebra', 'use', 'variable', 'represent', 'number', 'computation', 'reason', 'algebraic', 'structure', 'associate', 'homomorphisms', 'form', 'mathematical', 'category', 'category', 'theory', 'formalism', 'allows', 'unify', 'way', 'express', 'property', 'construction', 'similar', 'various', 'structure', 'universal', 'algebra', 'relate', 'subject', 'study', 'type', 'algebraic', 'structure', 'single', 'object', 'example', 'structure', 'group', 'single', 'object', 'universal', 'algebra', 'call', 'variety', 'group']"
Abstract art,Arts,[0.0052356 0.        0.        ... 0.        0.        0.       ],"['abstract', 'art', 'use', 'visual', 'language', 'shape', 'form', 'color', 'line', 'create', 'composition', 'may', 'exist', 'degree', 'independence', 'visual', 'reference', 'world', 'western', 'art', 'renaissance', 'middle', '19th', 'century', 'underpin', 'logic', 'perspective', 'attempt', 'reproduce', 'illusion', 'visible', 'reality', 'end', '19th', 'century', 'many', 'artist', 'felt', 'need', 'create', 'new', 'kind', 'art', 'would', 'encompass', 'fundamental', 'change', 'take', 'place', 'technology', 'science', 'philosophy', 'source', 'individual', 'artist', 'draw', 'theoretical', 'argument', 'diverse', 'reflect', 'social', 'intellectual', 'preoccupation', 'area', 'western', 'culture', 'time', 'abstract', 'art', 'non', 'figurative', 'art', 'non', 'objective', 'art', 'non', 'representational', 'art', 'closely', 'related', 'term', 'similar', 'perhaps', 'identical', 'meaning', 'abstraction', 'indicate', 'departure', 'reality', 'depiction', 'imagery', 'art', 'departure', 'accurate', 'representation', 'slight', 'partial', 'complete', 'abstraction', 'exist', 'along', 'continuum', 'even', 'art', 'aim', 'verisimilitude', 'high', 'degree', 'say', 'abstract', 'least', 'theoretically', 'since', 'perfect', 'representation', 'impossible', 'artwork', 'take', 'liberty', 'e', 'g', 'alter', 'color', 'form', 'way', 'conspicuous', 'say', 'partially', 'abstract', 'total', 'abstraction', 'bear', 'trace', 'reference', 'anything', 'recognizable', 'geometric', 'abstraction', 'instance', 'one', 'unlikely', 'find', 'reference', 'naturalistic', 'entity', 'figurative', 'art', 'total', 'abstraction', 'almost', 'mutually', 'exclusive', 'figurative', 'representational', 'realistic', 'art', 'often', 'contain', 'partial', 'abstraction', 'geometric', 'abstraction', 'lyrical', 'abstraction', 'often', 'totally', 'abstract', 'among', 'numerous', 'art', 'movement', 'embody', 'partial', 'abstraction', 'would', 'instance', 'fauvism', 'color', 'conspicuously', 'deliberately', 'alter', 'vi', 'vi', 'reality', 'cubism', 'alters', 'form', 'real', 'life', 'entity', 'depict']"
Achaemenid Empire,History,[0.00595238 0.00595238 0.00595238 ... 0.         0.         0.        ],"['achaemenid', 'empire', 'old', 'persian', '𐎧𐏁𐏂', 'xšāça', 'lit', 'empire', 'kingdom', 'also', 'call', 'first', 'persian', 'empire', 'ancient', 'iranian', 'empire', 'found', 'cyrus', 'great', '550', 'bc', 'base', 'western', 'asia', 'contemporarily', 'large', 'empire', 'history', 'span', 'total', '5', '5', 'million', 'square', 'kilometres', '2', '1', 'million', 'square', 'mile', 'balkan', 'ancient', 'egypt', 'west', 'indus', 'valley', 'east', 'around', '7th', 'century', 'bc', 'region', 'persis', 'southwestern', 'portion', 'iranian', 'plateau', 'settle', 'persian', 'persis', 'cyrus', 'rise', 'defeated', 'median', 'empire—of', 'previously', 'king—as', 'well', 'lydia', 'neo', 'babylonian', 'empire', 'mark', 'formal', 'establishment', 'new', 'imperial', 'polity', 'achaemenid', 'dynasty', 'achaemenid', 'empire', 'well', 'know', 'impose', 'successful', 'model', 'centralize', 'bureaucratic', 'administration', 'multicultural', 'policy', 'building', 'infrastructure', 'road', 'system', 'postal', 'system', 'use', 'official', 'language', 'across', 'territory', 'development', 'civil', 'service', 'include', 'possession', 'large', 'professional', 'army', 'advancement', 'inspire', 'implement', 'similar', 'style', 'governance', 'various', 'later', 'empires', '330', 'bc', 'achaemenid', 'empire', 'conquer', 'entirety', 'greek', 'macedonia', 'alexander', 'great', 'ardent', 'admirer', 'cyrus', 'great', 'alexander', 'death', 'mark', 'begin', 'hellenistic', 'period', 'empire', 'former', 'territory', 'fell', 'rule', 'ptolemaic', 'kingdom', 'seleucid', 'empire', 'follow', 'partition', 'triparadisus', '321', 'bc', 'hellenistic', 'rule', 'remain', 'place', 'iranian', 'elites', 'central', 'plateau', 'finally', 'reclaim', 'power', 'parthian', 'empire']"
Adam Smith,People,[0.      0.      0.00625 ... 0.      0.      0.     ],"['adam', 'smith', 'baptize', '16', 'june', '5', 'june', '1723', '–', '17', 'july', '1790', 'scottish', 'economist', 'philosopher', 'pioneer', 'political', 'economy', 'key', 'figure', 'scottish', 'enlightenment', 'also', 'know', 'father', 'economics', 'father', 'capitalism', 'write', 'two', 'classic', 'work', 'theory', 'moral', 'sentiment', '1759', 'inquiry', 'nature', 'cause', 'wealth', 'nation', '1776', 'latter', 'often', 'abbreviated', 'wealth', 'nation', 'consider', 'magnum', 'opus', 'first', 'modern', 'work', 'economics', 'work', 'smith', 'introduce', 'theory', 'absolute', 'advantage', 'smith', 'study', 'social', 'philosophy', 'university', 'glasgow', 'balliol', 'college', 'oxford', 'one', 'first', 'student', 'benefit', 'scholarship', 'set', 'fellow', 'scot', 'john', 'snell', 'graduate', 'deliver', 'successful', 'series', 'public', 'lecture', 'university', 'edinburgh', 'lead', 'collaborate', 'david', 'hume', 'scottish', 'enlightenment', 'smith', 'obtain', 'professorship', 'glasgow', 'teach', 'moral', 'philosophy', 'time', 'write', 'publish', 'theory', 'moral', 'sentiment', 'later', 'life', 'take', 'tutor', 'position', 'allow', 'travel', 'throughout', 'europe', 'meet', 'intellectual', 'leader', 'day', 'smith', 'laid', 'foundation', 'classical', 'free', 'market', 'economic', 'theory', 'wealth', 'nation', 'precursor', 'modern', 'academic', 'discipline', 'economics', 'work', 'develop', 'concept', 'division', 'labour', 'expound', 'upon', 'rational', 'self', 'interest', 'competition', 'lead', 'economic', 'prosperity', 'smith', 'controversial', 'day', 'general', 'approach', 'write', 'style', 'often', 'satirise', 'writer', 'horace', 'walpole']"
Addiction,"Health, medicine and disease",[0.02762431 0.01104972 0.         ... 0.         0.         0.        ],"['addiction', 'neuropsychological', 'disorder', 'characterize', 'persistent', 'intense', 'urge', 'engage', 'certain', 'behavior', 'often', 'usage', 'drug', 'despite', 'substantial', 'harm', 'negative', 'consequence', 'repetitive', 'drug', 'use', 'often', 'alter', 'brain', 'function', 'way', 'perpetuate', 'crave', 'weakens', 'completely', 'negate', 'self', 'control', 'phenomenon', '–', 'drug', 'reshape', 'brain', 'function', '–', 'lead', 'understanding', 'addiction', 'brain', 'disorder', 'complex', 'variety', 'psychosocial', 'well', 'neurobiological', 'thus', 'involuntary', 'factor', 'implicate', 'addiction', 'development', 'classic', 'sign', 'addiction', 'include', 'compulsive', 'engagement', 'reward', 'stimuli', 'preoccupation', 'substance', 'behavior', 'continue', 'use', 'despite', 'negative', 'consequence', 'habit', 'pattern', 'associate', 'addiction', 'typically', 'characterize', 'immediate', 'gratification', 'short', 'term', 'reward', 'couple', 'delay', 'deleterious', 'effect', 'long', 'term', 'cost', 'examples', 'drug', 'behavioral', 'addiction', 'include', 'alcoholism', 'marijuana', 'addiction', 'amphetamine', 'addiction', 'cocaine', 'addiction', 'nicotine', 'addiction', 'opioid', 'addiction', 'video', 'game', 'addiction', 'gamble', 'addiction', 'pornography', 'addiction', 'sexual', 'addiction', 'behavioral', 'addiction', 'recognize', 'dsm', '5', 'icd', '10', 'gamble', 'addiction', 'introduction', 'icd', '11', 'game', 'addiction', 'append', 'term', 'addiction', 'frequently', 'misuse', 'refer', 'compulsive', 'behavior', 'disorder', 'particularly', 'dependence', 'news', 'medium', 'important', 'distinction', 'drug', 'addiction', 'dependence', 'drug', 'dependence', 'disorder', 'cessation', 'drug', 'use', 'result', 'unpleasant', 'state', 'withdrawal', 'lead', 'drug', 'use', 'addiction', 'compulsive', 'use', 'substance', 'performance', 'behavior', 'independent', 'withdrawal', 'addiction', 'occur', 'absence', 'dependence', 'dependence', 'occur', 'absence', 'addiction', 'although', 'two', 'often', 'occur', 'together']"
